metric,tool,size,n,mean,median,std,iqr,min,max,cv
M6,rollup,s-200,1,235853,235853,0,0,235853,235853,0
M6,rspack,s-200,1,207353,207353,0,0,207353,207353,0
M6,vite,s-200,1,124666,124666,0,0,124666,124666,0
M6,webpack,s-200,1,148225,148225,0,0,148225,148225,0
M6,esbuild,xl-5000,1,1861322,1861322,0,0,1861322,1861322,0
M6,rollup,xl-5000,1,2614322,2614322,0,0,2614322,2614322,0
M6,rspack,xl-5000,1,3252093,3252093,0,0,3252093,3252093,0
M6,vite,xl-5000,1,1089500,1089500,0,0,1089500,1089500,0
M6,webpack,xl-5000,1,1829249,1829249,0,0,1829249,1829249,0
M6,esbuild,xs-50,1,90106,90106,0,0,90106,90106,0
M6,rollup,xs-50,1,155580,155580,0,0,155580,155580,0
M6,rspack,xs-50,1,99169,99169,0,0,99169,99169,0
M6,vite,xs-50,1,82962,82962,0,0,82962,82962,0
M6,webpack,xs-50,1,87038,87038,0,0,87038,87038,0
M6,esbuild,bp-react,1,278412,278412,0,0,278412,278412,0
M6,rollup,bp-react,1,188319,188319,0,0,188319,188319,0
M6,rspack,bp-react,1,206848,206848,0,0,206848,206848,0
M6,vite,bp-react,1,193869,193869,0,0,193869,193869,0
M6,webpack,bp-react,1,210009,210009,0,0,210009,210009,0
M7,esbuild,l-2000,1,6,6,0,0,6,6,0
M7,rollup,l-2000,1,17,17,0,0,17,17,0
M7,rspack,l-2000,1,2,2,0,0,2,2,0
M7,vite,l-2000,1,3,3,0,0,3,3,0
M7,webpack,l-2000,1,1,1,0,0,1,1,0
M7,esbuild,m-500,1,6,6,0,0,6,6,0
M7,rollup,m-500,1,17,17,0,0,17,17,0
M7,rspack,m-500,1,2,2,0,0,2,2,0
M7,vite,m-500,1,3,3,0,0,3,3,0
M7,webpack,m-500,1,1,1,0,0,1,1,0
M7,esbuild,s-200,1,5,5,0,0,5,5,0
M7,rollup,s-200,1,5,5,0,0,5,5,0
M7,rspack,s-200,1,1,1,0,0,1,1,0
M7,vite,s-200,1,1,1,0,0,1,1,0
M7,webpack,s-200,1,1,1,0,0,1,1,0
M7,esbuild,xl-5000,1,6,6,0,0,6,6,0
M7,rollup,xl-5000,1,17,17,0,0,17,17,0
