tier,metric,size,tool_1,tool_2,z,p_raw,p_bonferroni,significant
tier1,M2,xl-5000,rollup,vite,4.479183,0.000007,0.000075,Yes
tier1,M2,xl-5000,rollup,webpack,-1.227173,0.219757,1,No
tier1,M2,xl-5000,rspack,vite,1.058437,0.289856,1,No
tier1,M2,xl-5000,rspack,webpack,-4.647919,0.000003,0.000034,Yes
tier1,M2,xl-5000,vite,webpack,-5.706357,0,0,Yes
tier1,M10,xs-50,esbuild,rollup,-4.954713,0.000001,0.000007,Yes
tier1,M10,xs-50,esbuild,rspack,-1.533967,0.125038,1,No
tier1,M10,xs-50,esbuild,vite,-3.067934,0.002155,0.021554,Yes
tier1,M10,xs-50,esbuild,webpack,-5.783055,0,0,Yes
tier1,M10,xs-50,rollup,rspack,3.420746,0.000624,0.006245,Yes
tier1,M10,xs-50,rollup,vite,1.886779,0.05919,0.5919,No
tier1,M10,xs-50,rollup,webpack,-0.828342,0.407477,1,No
tier1,M10,xs-50,rspack,vite,-1.533967,0.125038,1,No
tier1,M10,xs-50,rspack,webpack,-4.249088,0.000021,0.000215,Yes
tier1,M10,xs-50,vite,webpack,-2.715121,0.006625,0.066252,No
tier1,M11,xs-50,esbuild,rollup,-4.618571,0.000004,0.000039,Yes
tier1,M11,xs-50,esbuild,rspack,-2.938393,0.003299,0.032992,Yes
tier1,M11,xs-50,esbuild,vite,-1.664834,0.095946,0.959459,No
tier1,M11,xs-50,esbuild,webpack,-6.122292,0,0,Yes
tier1,M11,xs-50,rollup,rspack,1.680178,0.092923,0.929227,No
tier1,M11,xs-50,rollup,vite,2.953737,0.00314,0.031395,Yes
tier1,M11,xs-50,rollup,webpack,-1.503721,0.132653,1,No
tier1,M11,xs-50,rspack,vite,1.273559,0.20282,1,No
tier1,M11,xs-50,rspack,webpack,-3.183899,0.001453,0.014531,Yes
tier1,M11,xs-50,vite,webpack,-4.457458,0.000008,0.000083,Yes
tier1,M2,xs-50,esbuild,rollup,-3.562826,0.000367,0.003669,Yes
tier1,M2,xs-50,esbuild,rspack,-2.173017,0.029779,0.297791,No
tier1,M2,xs-50,esbuild,vite,-1.051955,0.29282,1,No
tier1,M2,xs-50,esbuild,webpack,-5.229061,0,0.000002,Yes
tier1,M2,xs-50,rollup,rspack,1.389809,0.164587,1,No
tier1,M2,xs-50,rollup,vite,2.510871,0.012043,0.120434,No
tier1,M2,xs-50,rollup,webpack,-1.666235,0.095667,0.956665,No
tier1,M2,xs-50,rspack,vite,1.121062,0.262262,1,No
tier1,M2,xs-50,rspack,webpack,-3.056045,0.002243,0.022428,Yes
tier1,M2,xs-50,vite,webpack,-4.177106,0.00003,0.000295,Yes
tier2,M10,bp-react,esbuild,rollup,-4.60179,0.000004,0.000042,Yes
tier2,M10,bp-react,esbuild,rspack,-1.53393,0.125047,1,No
tier2,M10,bp-react,esbuild,vite,-3.06786,0.002156,0.02156,Yes
tier2,M10,bp-react,esbuild,webpack,-6.13572,0,0,Yes
tier2,M10,bp-react,rollup,rspack,3.06786,0.002156,0.02156,Yes
tier2,M10,bp-react,rollup,vite,1.53393,0.125047,1,No
tier2,M10,bp-react,rollup,webpack,-1.53393,0.125047,1,No
tier2,M10,bp-react,rspack,vite,-1.53393,0.125047,1,No
tier2,M10,bp-react,rspack,webpack,-4.60179,0.000004,0.000042,Yes
tier2,M10,bp-react,vite,webpack,-3.06786,0.002156,0.02156,Yes
tier2,M11,bp-react,esbuild,rollup,-4.6208,0.000004,0.000038,Yes
tier2,M11,bp-react,esbuild,rspack,-1.540267,0.123495,1,No
tier2,M11,bp-react,esbuild,vite,-3.080534,0.002066,0.020663,Yes
tier2,M11,bp-react,esbuild,webpack,-6.161067,0,0,Yes
tier2,M11,bp-react,rollup,rspack,3.080534,0.002066,0.020663,Yes
tier2,M11,bp-react,rollup,vite,1.540267,0.123495,1,No
tier2,M11,bp-react,rollup,webpack,-1.540267,0.123495,1,No
tier2,M11,bp-react,rspack,vite,-1.540267,0.123495,1,No
tier2,M11,bp-react,rspack,webpack,-4.6208,0.000004,0.000038,Yes
tier2,M11,bp-react,vite,webpack,-3.080534,0.002066,0.020663,Yes
tier2,M2,bp-react,esbuild,rollup,-3.820678,0.000133,0.001331,Yes
tier2,M2,bp-react,esbuild,rspack,-1.933355,0.053192,0.531924,No
tier2,M2,bp-react,esbuild,vite,-2.224893,0.026088,0.260884,No
tier2,M2,bp-react,esbuild,webpack,-4.910109,0.000001,0.000009,Yes
tier2,M2,bp-react,rollup,rspack,1.887323,0.059117,0.591169,No
tier2,M2,bp-react,rollup,vite,1.595785,0.110537,1,No
tier2,M2,bp-react,rollup,webpack,-1.08943,0.275964,1,No
tier2,M2,bp-react,rspack,vite,-0.291538,0.77064,1,No
tier2,M2,bp-react,rspack,webpack,-2.976753,0.002913,0.029132,Yes
tier2,M2,bp-react,vite,webpack,-2.685216,0.007248,0.072483,No
