tier,metric,size,tool,unit_of_analysis,n,mean,median,std,iqr,min,max
tier1,M11,s-200,vite,independent_build,10,1.668,1.66,0.039665,0.0375,1.63,1.75
tier1,M2,s-200,vite,independent_build,10,1370,1135,522.472753,45,1080,2510
tier1,M5,s-200,vite,five_build_aggregate,1,567352,567352,0,0,567352,567352
tier1,M6,s-200,vite,five_build_aggregate,1,124732,124732,0,0,124732,124732
tier1,M8,s-200,vite,five_build_aggregate,1,5,5,0,0,5,5
tier1,M9,s-200,vite,sourcemap_probe,1,100,100,0,0,100,100
tier1,M7,tree-shake,vite,fixture_aggregate,1,90.24,90.24,0,0,90.24,90.24
tier1,M1,xl-5000,vite,independent_build,20,862.9,863,9.278725,9.25,849,885
tier1,M10,xl-5000,vite,independent_build,10,1674.105,1678.97,21.607227,25.815,1632.11,1702.05
tier1,M11,xl-5000,vite,independent_build,10,10.767,10.66,0.324963,0.4025,10.43,11.3
tier1,M2,xl-5000,vite,independent_build,10,7865,5560,4467.776603,1725,5260,17740
tier1,M5,xl-5000,vite,five_build_aggregate,1,9054960,9054960,0,0,9054960,9054960
tier1,M6,xl-5000,vite,five_build_aggregate,1,1088681,1088681,0,0,1088681,1088681
tier1,M8,xl-5000,vite,five_build_aggregate,1,84,84,0,0,84,84
tier1,M9,xl-5000,vite,sourcemap_probe,1,100,100,0,0,100,100
tier1,M1,xs-50,vite,independent_build,20,891.6,867.5,59.274917,31.25,846,1055
tier1,M10,xs-50,vite,independent_build,10,238.276,237.94,2.981074,3.7125,233.91,243.19
tier1,M11,xs-50,vite,independent_build,10,0.983,0.98,0.052715,0.0375,0.94,1.12
tier1,M2,xs-50,vite,independent_build,10,1158,890,678.016716,37.5,820,2960
tier1,M5,xs-50,vite,five_build_aggregate,1,311635,311635,0,0,311635,311635
tier1,M6,xs-50,vite,five_build_aggregate,1,83071,83071,0,0,83071,83071
tier1,M8,xs-50,vite,five_build_aggregate,1,1,1,0,0,1,1
tier1,M9,xs-50,vite,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,l-2000,webpack,independent_build,10,3532.011,3522.065,322.899586,428.0875,3107.44,4117.58
tier1,M11,l-2000,webpack,independent_build,10,61.935,62.045,0.317849,0.555,61.45,62.3
tier1,M2,l-2000,webpack,independent_build,10,41989,39055,5088.648478,6722.5,38630,51570
tier1,M5,l-2000,webpack,five_build_aggregate,1,8114836,8114836,0,0,8114836,8114836
tier1,M6,l-2000,webpack,five_build_aggregate,1,835972,835972,0,0,835972,835972
tier1,M8,l-2000,webpack,five_build_aggregate,1,6,6,0,0,6,6
tier1,M9,l-2000,webpack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M1,m-500,webpack,independent_build,20,4680.45,4513,641.692292,215.25,4320,6992
tier1,M10,m-500,webpack,independent_build,10,2045.985,2059.785,119.550794,207.7925,1878.66,2205.16
tier1,M11,m-500,webpack,independent_build,10,27.642,27.62,0.638258,0.8575,26.61,28.7
tier1,M2,m-500,webpack,independent_build,10,11838,10665,3743.541995,565,10270,22450
tier1,M5,m-500,webpack,five_build_aggregate,1,2555959,2555959,0,0,2555959,2555959
tier1,M6,m-500,webpack,five_build_aggregate,1,370828,370828,0,0,370828,370828
tier1,M8,m-500,webpack,five_build_aggregate,1,6,6,0,0,6,6
tier1,M9,m-500,webpack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,s-200,webpack,independent_build,10,896.937,904,34.799898,19.2225,831.17,940.64
tier1,M11,s-200,webpack,independent_build,10,14.219,14.015,0.510173,0.79,13.6,15.13
tier1,M2,s-200,webpack,independent_build,10,7425,5115,4866.263111,325,4920,16940
tier1,M5,s-200,webpack,five_build_aggregate,1,887756,887756,0,0,887756,887756
tier1,M6,s-200,webpack,five_build_aggregate,1,148058,148058,0,0,148058,148058
tier1,M8,s-200,webpack,five_build_aggregate,1,5,5,0,0,5,5
tier1,M9,s-200,webpack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M7,tree-shake,webpack,fixture_aggregate,1,90.09,90.09,0,0,90.09,90.09
tier1,M1,xl-5000,webpack,independent_build,20,19162.9,18924.5,702.493222,194,18737,21464
tier1,M10,xl-5000,webpack,independent_build,10,6507.326,6512.195,462.994083,401.405,5487.69,7182.27
tier1,M11,xl-5000,webpack,independent_build,10,168.342,168.33,2.363739,2.2075,164.78,173.42
tier1,M2,xl-5000,webpack,independent_build,10,121391,121520,4804.767193,3562.5,109890,127910
tier1,M5,xl-5000,webpack,five_build_aggregate,1,19327288,19327288,0,0,19327288,19327288
tier1,M6,xl-5000,webpack,five_build_aggregate,1,1827389,1827389,0,0,1827389,1827389
tier1,M8,xl-5000,webpack,five_build_aggregate,1,13,13,0,0,13,13
tier1,M9,xl-5000,webpack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M1,xs-50,webpack,independent_build,20,2886.85,2485,1323.349231,211.5,2413,8329
tier1,M10,xs-50,webpack,independent_build,10,471.735,470.35,11.66197,20.8375,458.42,485.31
tier1,M11,xs-50,webpack,independent_build,10,7.115,6.935,0.392747,0.4925,6.74,7.86
tier1,M2,xs-50,webpack,independent_build,10,7956,3415,10261.141587,515,3350,34440
tier1,M5,xs-50,webpack,five_build_aggregate,1,372983,372983,0,0,372983,372983
tier1,M6,xs-50,webpack,five_build_aggregate,1,87029,87029,0,0,87029,87029
tier1,M8,xs-50,webpack,five_build_aggregate,1,2,2,0,0,2,2
tier1,M9,xs-50,webpack,sourcemap_probe,1,100,100,0,0,100,100
tier2,M10,bp-react,esbuild,independent_build,10,62.497,62.41,0.643481,1.01,61.66,63.36
