tier,metric,size,tool_1,tool_2,z,p_raw,p_bonferroni,significant
tier2,M2,bp-react,rollup,webpack,-1.08943,0.275964142412,1,No
tier2,M2,bp-react,rspack,vite,-0.291538,0.770640110323,1,No
tier2,M2,bp-react,rspack,webpack,-2.976753,0.002913182079,0.029131820786,Yes
tier2,M2,bp-react,vite,webpack,-2.685216,0.007248300791,0.072483007909,No
tier1,M3,l-2000,esbuild,rollup,-2.148345,0.03168638854,0.316863885398,No
tier1,M3,l-2000,esbuild,rspack,2.148345,0.03168638854,0.316863885398,No
tier1,M3,l-2000,esbuild,vite,-1.074172,0.282745459933,1,No
tier1,M3,l-2000,esbuild,webpack,1.074172,0.282745459933,1,No
tier1,M3,l-2000,rollup,rspack,4.296689,0.000017336797,0.000173367966,Yes
tier1,M3,l-2000,rollup,vite,1.074172,0.282745459933,1,No
tier1,M3,l-2000,rollup,webpack,3.222517,0.001270696547,0.012706965471,Yes
tier1,M3,l-2000,rspack,vite,-3.222517,0.001270696547,0.012706965471,Yes
tier1,M3,l-2000,rspack,webpack,-1.074172,0.282745459933,1,No
tier1,M3,l-2000,vite,webpack,2.148345,0.03168638854,0.316863885398,No
tier1,M3,m-500,esbuild,rollup,-2.148345,0.03168638854,0.316863885398,No
tier1,M3,m-500,esbuild,rspack,2.148345,0.03168638854,0.316863885398,No
tier1,M3,m-500,esbuild,vite,-1.074172,0.282745459933,1,No
tier1,M3,m-500,esbuild,webpack,1.074172,0.282745459933,1,No
tier1,M3,m-500,rollup,rspack,4.296689,0.000017336797,0.000173367966,Yes
tier1,M3,m-500,rollup,vite,1.074172,0.282745459933,1,No
tier1,M3,m-500,rollup,webpack,3.222517,0.001270696547,0.012706965471,Yes
tier1,M3,m-500,rspack,vite,-3.222517,0.001270696547,0.012706965471,Yes
tier1,M3,m-500,rspack,webpack,-1.074172,0.282745459933,1,No
tier1,M3,m-500,vite,webpack,2.148345,0.03168638854,0.316863885398,No
tier1,M3,s-200,esbuild,rollup,-2.148758,0.031653597503,0.316535975034,No
tier1,M3,s-200,esbuild,rspack,2.148758,0.031653597503,0.316535975034,No
tier1,M3,s-200,esbuild,vite,-1.074379,0.282652876504,1,No
tier1,M3,s-200,esbuild,webpack,1.074379,0.282652876504,1,No
tier1,M3,s-200,rollup,rspack,4.297516,0.000017272298,0.000172722977,Yes
tier1,M3,s-200,rollup,vite,1.074379,0.282652876504,1,No
tier1,M3,s-200,rollup,webpack,3.223137,0.00126794971,0.0126794971,Yes
tier1,M3,s-200,rspack,vite,-3.223137,0.00126794971,0.0126794971,Yes
tier1,M3,s-200,rspack,webpack,-1.074379,0.282652876504,1,No
tier1,M3,s-200,vite,webpack,2.148758,0.031653597503,0.316535975034,No
tier1,M3,xl-5000,esbuild,rollup,-1.074172,0.282745459933,1,No
tier1,M3,xl-5000,esbuild,rspack,3.222517,0.001270696547,0.012706965471,Yes
tier1,M3,xl-5000,esbuild,vite,1.074172,0.282745459933,1,No
tier1,M3,xl-5000,esbuild,webpack,2.148345,0.03168638854,0.316863885398,No
tier1,M3,xl-5000,rollup,rspack,4.296689,0.000017336797,0.000173367966,Yes
tier1,M3,xl-5000,rollup,vite,2.148345,0.03168638854,0.316863885398,No
tier1,M3,xl-5000,rollup,webpack,3.222517,0.001270696547,0.012706965471,Yes
tier1,M3,xl-5000,rspack,vite,-2.148345,0.03168638854,0.316863885398,No
tier1,M3,xl-5000,rspack,webpack,-1.074172,0.282745459933,1,No
tier1,M3,xl-5000,vite,webpack,1.074172,0.282745459933,1,No
tier1,M3,xs-50,esbuild,rollup,-2.277683,0.022745449995,0.227454499953,No
tier1,M3,xs-50,esbuild,rspack,2.019832,0.04340077396,0.434007739604,No
tier1,M3,xs-50,esbuild,vite,-1.203304,0.228858541074,1,No
tier1,M3,xs-50,esbuild,webpack,0.816528,0.414198218116,1,No
tier1,M3,xs-50,rollup,rspack,4.297516,0.000017272298,0.000172722977,Yes
tier1,M3,xs-50,rollup,vite,1.074379,0.282652876504,1,No
tier1,M3,xs-50,rollup,webpack,3.094211,0.001973368516,0.019733685157,Yes
tier1,M3,xs-50,rspack,vite,-3.223137,0.00126794971,0.0126794971,Yes
tier1,M3,xs-50,rspack,webpack,-1.203304,0.228858541074,1,No
tier1,M3,xs-50,vite,webpack,2.019832,0.04340077396,0.434007739604,No
tier1,M4,m-500,rspack,vite,1.061608,0.288413471481,0.865240414443,No
tier1,M4,m-500,rspack,webpack,-2.123217,0.033735678756,0.101207036267,No
tier1,M4,m-500,vite,webpack,-3.184825,0.001448413786,0.004345241359,Yes
tier1,M4,xl-5000,rspack,vite,1.767767,0.077099871744,0.231299615231,No
tier1,M4,xl-5000,rspack,webpack,-1.767767,0.077099871744,0.231299615231,No
tier1,M4,xl-5000,vite,webpack,-3.535534,0.000406952017,0.001220856052,Yes
tier1,M4,xs-50,rspack,vite,1.770932,0.076571983558,0.229715950674,No
tier1,M4,xs-50,rspack,webpack,-1.770932,0.076571983558,0.229715950674,No
tier1,M4,xs-50,vite,webpack,-3.541864,0.000397309779,0.001191929338,Yes
tier2,M4,bp-react,rspack,vite,1.061608,0.288413471481,0.865240414443,No
tier2,M4,bp-react,rspack,webpack,-2.123217,0.033735678756,0.101207036267,No
tier2,M4,bp-react,vite,webpack,-3.184825,0.001448413786,0.004345241359,Yes
